genes,APC1320ko,RKO_CM,RKO_RSPO1mut_CM,WTko,APC1320_CRISPRa,WT_CRISPRa
ADAMTS14,-0.39700906,-0.973189298,-0.507272373,-0.085491796,0.319519197,-0.544091014
ADAMTS15,-0.378290826,-0.109605612,0.369016356,0.228905852,-0.120979016,0.179908435
ADAMTS16,0.862815182,0.413697709,0.105878914,0.350148619,-0.108305749,0.048637734
ADAMTS17,-0.409055279,0.396078534,0.020483951,-0.087107815,0.081162302,-0.101077304
ADAMTS18,0.202107096,0.364474607,-0.267545989,-0.058887559,0.137574165,-0.833892366
ADAMTS19,0.797967233,0.102202226,0.120324599,0.475150189,0.161589002,0.485754228
ADAMTS2,0.020058957,0.511655157,-0.142975877,0.353258586,0.487127422,-0.146096192
ADAMTS20,-0.256403281,-0.030802163,0.302944148,-0.309143391,-0.364559224,0.202548537
ADAMTS3,0.736738556,0.074281892,0.190020445,-0.113548423,0.408832462,0.63117619
ADAMTS4,0.645340442,0.536153388,0.225451835,-0.072468552,-0.128611345,0.492504225
ADAMTS5,0.154167127,-0.577332288,-0.341432774,-0.273995651,-0.737448586,-0.001902868
ADAMTS6,-0.528907482,-0.098637621,0.226711612,0.098251943,0.926808423,0.35163492
ADAMTS7,-0.513689107,0.000526956,-0.091490048,0.625337698,-0.215574807,-0.309863059
ADAMTS8,-0.260863532,-0.144851776,0.050355593,-0.074872043,-0.149596,-0.605015783
ADAMTS9,0.537754652,0.170436111,0.330959383,-0.087571352,-1.065635681,-0.538869238
ADAMTSL1,-0.823917185,0.163037648,-0.665853579,-0.211005433,-0.14739917,-0.154799449
ADAMTSL2,-0.535286601,0.145221621,-0.296790516,0.009201849,0.076572166,-0.797054186
ADAMTSL3,0.277361176,0.171989598,-0.252524088,-0.039313211,-0.75319967,-0.015678249
ADAMTSL4,-0.169934852,0.073375453,-0.218851577,-0.496290048,0.579561755,1.015467601
ADAMTSL5,0.0690116,-0.969487197,-0.844089361,-0.761029026,0.335824583,0.066558351
ADAP1,-0.259448859,-0.240410664,-0.22897057,-0.681744513,0.505779737,-0.417263529
ADAP2,-0.279163851,0.085840583,0.402006871,-0.055743876,-0.595470436,-0.163103067
ADAR,0.520546399,0.408048301,0.280598882,0.577259874,-0.187213281,-0.408893404
ADARB1,-0.343233071,-0.545761211,-0.381062769,-0.042557894,-0.164492927,0.104104344
ADARB2,-0.13317502,-0.124614761,-0.246172188,0.01875036,-0.248578079,0.298484095
ADAT1,-0.296240469,0.239321582,0.334591101,0.108912733,0.18307165,-0.58823564
ADAT2,-0.394675842,0.907045031,1.919067441,0.946842568,-0.62783594,0.41303858
ADAT3,-0.114702465,-0.498377834,-0.169845999,0.020084351,-0.360590943,0.161333659
ADCK1,-0.239439625,-0.219623941,0.179532723,-0.399453226,-0.072803567,-0.490732988
ADCK2,-0.862097431,-1.084348184,-1.083908133,-1.019135254,-0.14159771,0.076958727
ADCK5,-0.01836547,-0.138993783,-0.019234097,0.281530849,0.244104016,0.345789453
ADCY1,0.226165317,0.38024365,-0.593208934,-0.050492376,0.371313587,0.363089081
ADCY10,0.271694062,0.427939105,0.197097349,0.202220063,-0.763364464,0.056502594
ADCY2,-0.482266895,-0.238350257,-0.213540712,-0.153564679,-0.652942937,-0.601002933
ADCY4,0.55394471,-0.635815375,-0.190881139,-0.54277352,0.271393739,-0.546164383
ADCY5,0.596549298,0.219805479,-0.017166683,0.731963856,-0.536861239,-0.800492458
ADCY6,-0.150913975,1.093949351,0.771267034,0.333691192,0.414351309,0.018892888
ADCY7,-0.143145218,-0.442377958,-0.789336579,-0.857765424,0.110078826,0.637218857
ADCY8,-0.077094948,0.174316792,-0.103076578,-0.209452454,-0.067954078,-0.088909207
